time,latitude,longitude,height,SIGH,SIGW,SIGV,PAGE,HDWP,PTYP,PGRD,NSORT,mass(01),
 1/ 8/26  2: 0,      37.077,     -88.427,      13.641,       0.000,      -0.468,      -0.030,          60,           0,           1,           1,           1,   1.667E-02,
 1/ 8/26  2: 0,      37.078,     -88.427,      15.664,       0.000,       0.433,      -0.005,          59,           0,           1,           1,           2,   1.667E-02,
 1/ 8/26  2: 0,      37.076,     -88.424,      12.602,       0.000,      -0.278,      -0.022,          58,           0,           1,           1,           3,   1.667E-02,
 1/ 8/26  2: 0,      37.078,     -88.424,      12.773,       0.000,       0.122,       0.061,          57,           0,           1,           1,           4,   1.667E-02,
 1/ 8/26  2: 0,      37.075,     -88.422,      11.969,       0.000,      -0.262,       0.018,          56,           0,           1,           1,           5,   1.667E-02,
 1/ 8/26  2: 0,      37.075,     -88.421,      13.034,       0.000,       0.157,       0.009,          55,           0,           1,           1,           6,   1.667E-02,
 1/ 8/26  2: 0,      37.073,     -88.420,      11.984,       0.000,      -0.218,      -0.021,          54,           0,           1,           1,           7,   1.667E-02,
 1/ 8/26  2: 0,      37.074,     -88.419,      12.684,       0.000,       0.410,       0.019,          53,           0,           1,           1,           8,   1.667E-02,
 1/ 8/26  2: 0,      37.074,     -88.418,      14.526,       0.000,      -2.605,      -0.002,          52,           0,           1,           1,           9,   1.667E-02,
 1/ 8/26  2: 0,      37.072,     -88.417,      10.291,       0.000,      -0.513,       0.028,          51,           0,           1,           1,          10,   1.667E-02,
 1/ 8/26  2: 0,      37.071,     -88.416,      13.660,       0.000,      -0.433,      -0.007,          50,           0,           1,           1,          11,   1.667E-02,
 1/ 8/26  2: 0,      37.070,     -88.415,       7.398,       0.000,       1.311,      -0.023,          49,           0,           1,           1,          12,   1.667E-02,
 1/ 8/26  2: 0,      37.070,     -88.413,       9.872,       0.000,       1.613,      -0.039,          48,           0,           1,           1,          13,   1.667E-02,
 1/ 8/26  2: 0,      37.070,     -88.412,       9.216,       0.000,       0.939,       0.013,          47,           0,           1,           1,          14,   1.667E-02,
 1/ 8/26  2: 0,      37.070,     -88.412,      12.369,       0.000,       1.158,       0.010,          46,           0,           1,           1,          15,   1.667E-02,
 1/ 8/26  2: 0,      37.070,     -88.412,      11.855,       0.000,       0.117,      -0.002,          45,           0,           1,           1,          16,   1.667E-02,
 1/ 8/26  2: 0,      37.069,     -88.411,      11.666,       0.000,       1.469,       0.031,          44,           0,           1,           1,          17,   1.667E-02,
 1/ 8/26  2: 0,      37.070,     -88.409,      17.256,       0.000,      -1.162,       0.013,          43,           0,           1,           1,          18,   1.667E-02,
 1/ 8/26  2: 0,      37.068,     -88.408,      11.304,       0.000,       0.732,       0.015,          42,           0,           1,           1,          19,   1.667E-02,
 1/ 8/26  2: 0,      37.068,     -88.408,      16.914,       0.000,       0.110,      -0.009,          41,           0,           1,           1,          20,   1.667E-02,
 1/ 8/26  2: 0,      37.068,     -88.406,      11.936,       0.000,       0.344,      -0.009,          40,           0,           1,           1,          21,   1.667E-02,
 1/ 8/26  2: 0,      37.066,     -88.405,      12.314,       0.000,       0.556,      -0.012,          39,           0,           1,           1,          22,   1.667E-02,
 1/ 8/26  2: 0,      37.067,     -88.405,      14.757,       0.000,      -0.573,      -0.010,          38,           0,           1,           1,          23,   1.667E-02,
 1/ 8/26  2: 0,      37.066,     -88.403,      15.001,       0.000,       0.534,      -0.008,          37,           0,           1,           1,          24,   1.667E-02,
 1/ 8/26  2: 0,      37.066,     -88.403,      14.010,       0.000,       0.103,      -0.005,          36,           0,           1,           1,          25,   1.667E-02,
 1/ 8/26  2: 0,      37.065,     -88.402,      15.101,       0.000,      -2.018,      -0.032,          35,           0,           1,           1,          26,   1.667E-02,
 1/ 8/26  2: 0,      37.065,     -88.400,      13.852,       0.000,      -0.983,      -0.038,          34,           0,           1,           1,          27,   1.667E-02,
 1/ 8/26  2: 0,      37.065,     -88.400,      16.361,       0.000,       0.029,      -0.014,          33,           0,           1,           1,          28,   1.667E-02,
 1/ 8/26  2: 0,      37.064,     -88.399,      14.721,       0.000,       0.236,      -0.002,          32,           0,           1,           1,          29,   1.667E-02,
 1/ 8/26  2: 0,      37.064,     -88.398,      17.065,       0.000,      -0.980,      -0.022,          31,           0,           1,           1,          30,   1.667E-02,
 1/ 8/26  2: 0,      37.064,     -88.397,      14.491,       0.000,       1.320,      -0.004,          30,           0,           1,           1,          31,   1.667E-02,
 1/ 8/26  2: 0,      37.063,     -88.396,      13.688,       0.000,       0.252,       0.013,          29,           0,           1,           1,          32,   1.667E-02,
 1/ 8/26  2: 0,      37.063,     -88.395,      12.404,       0.000,      -2.097,      -0.007,          28,           0,           1,           1,          33,   1.667E-02,
 1/ 8/26  2: 0,      37.063,     -88.394,      13.931,       0.000,       0.456,       0.018,          27,           0,           1,           1,          34,   1.667E-02,
 1/ 8/26  2: 0,      37.062,     -88.393,      13.778,       0.000,      -0.132,      -0.022,          26,           0,           1,           1,          35,   1.667E-02,
 1/ 8/26  2: 0,      37.062,     -88.392,      12.463,       0.000,       0.218,      -0.011,          25,           0,           1,           1,          36,   1.667E-02,
 1/ 8/26  2: 0,      37.061,     -88.391,      14.459,       0.000,      -0.431,      -0.026,          24,           0,           1,           1,          37,   1.667E-02,
 1/ 8/26  2: 0,      37.062,     -88.390,      16.589,       0.000,       1.217,      -0.006,          23,           0,           1,           1,          38,   1.667E-02,
 1/ 8/26  2: 0,      37.062,     -88.390,      15.205,       0.000,      -0.356,       0.032,          22,           0,           1,           1,          39,   1.667E-02,
 1/ 8/26  2: 0,      37.061,     -88.388,      15.065,       0.000,      -1.846,       0.015,          21,           0,           1,           1,          40,   1.667E-02,
 1/ 8/26  2: 0,      37.060,     -88.387,      12.831,       0.000,       1.739,      -0.040,          20,           0,           1,           1,          41,   1.667E-02,
 1/ 8/26  2: 0,      37.060,     -88.386,      14.479,       0.000,      -1.425,       0.005,          19,           0,           1,           1,          42,   1.667E-02,
 1/ 8/26  2: 0,      37.060,     -88.385,      14.381,       0.000,       0.879,       0.029,          18,           0,           1,           1,          43,   1.667E-02,
 1/ 8/26  2: 0,      37.060,     -88.384,      16.500,       0.000,      -0.219,      -0.005,          17,           0,           1,           1,          44,   1.667E-02,
 1/ 8/26  2: 0,      37.060,     -88.383,      13.426,       0.000,      -0.504,       0.000,          16,           0,           1,           1,          45,   1.667E-02,
 1/ 8/26  2: 0,      37.059,     -88.382,      14.772,       0.000,      -0.494,      -0.011,          15,           0,           1,           1,          46,   1.667E-02,
 1/ 8/26  2: 0,      37.059,     -88.381,      14.079,       0.000,      -0.473,      -0.010,          14,           0,           1,           1,          47,   1.667E-02,
 1/ 8/26  2: 0,      37.059,     -88.380,      16.190,       0.000,      -0.148,      -0.017,          13,           0,           1,           1,          48,   1.667E-02,
 1/ 8/26  2: 0,      37.058,     -88.379,      14.833,       0.000,       1.297,       0.031,          12,           0,           1,           1,          49,   1.667E-02,
 1/ 8/26  2: 0,      37.058,     -88.378,      15.408,       0.000,      -0.297,      -0.033,          11,           0,           1,           1,          50,   1.667E-02,
 1/ 8/26  2: 0,      37.058,     -88.377,      15.810,       0.000,      -1.313,       0.007,          10,           0,           1,           1,          51,   1.667E-02,
 1/ 8/26  2: 0,      37.057,     -88.376,      15.302,       0.000,       1.668,      -0.009,           9,           0,           1,           1,          52,   1.667E-02,
 1/ 8/26  2: 0,      37.057,     -88.375,      15.013,       0.000,      -0.396,      -0.021,           8,           0,           1,           1,          53,   1.667E-02,
 1/ 8/26  2: 0,      37.057,     -88.374,      14.561,       0.000,       0.764,       0.022,           7,           0,           1,           1,          54,   1.667E-02,
 1/ 8/26  2: 0,      37.057,     -88.373,      16.199,       0.000,       0.591,       0.027,           6,           0,           1,           1,          55,   1.667E-02,
 1/ 8/26  2: 0,      37.056,     -88.372,      15.587,       0.000,      -1.303,      -0.023,           5,           0,           1,           1,          56,   1.667E-02,
 1/ 8/26  2: 0,      37.056,     -88.371,      14.415,       0.000,      -0.015,      -0.003,           4,           0,           1,           1,          57,   1.667E-02,
